maintenance_id,bike_id,reported_time,resolved_time,issue_description
a3355c24-39a9-4e8b-85c7-718647522b52,e267f0df-8efd-4444-8236-189e934465da,2025-08-17 06:14:12,2025-08-19,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
d504a7b5-0894-42ea-8569-c016d36b3985,1dbe235a-8f31-4169-971f-8fd7ef97a218,2025-08-17 18:39:27,2025-08-22,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
cf6ac8a0-276e-4210-9e9a-ebbc194fad26,85397d32-391d-4134-9a0e-45081c33e381,2025-08-17 17:24:30,2025-08-21,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
0371e646-c7df-4f96-83da-de4444e29599,77016582-bfee-427d-a9a8-ab95bbc422e0,2025-08-17 23:37:17,2025-08-20,Broken
c74c858e-3d11-497e-b96b-df3b11f82f23,76e8423a-2fd3-4219-b029-5a2c0f74e88e,2025-08-17 00:51:42,2025-08-22,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
b63dfeea-1648-4161-bda6-3197806c5583,3b0502c5-8748-4119-bd23-cfb6ae872a6f,2025-08-17 04:15:05,2025-08-20,"The chain on my rental bike keeps slipping off the gears, making it hard to pedal. I've tried adjusting it, but it doesn't seem to be staying in place. I'd appreciate it if someone could take a look and fix the issue so I can continue my ride."
b5e4a61c-4f28-4344-a271-e6c72f79443e,42478df4-b02f-40d7-8a96-ad0dedc7a0b2,2025-08-17 17:18:46,2025-08-18,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
325f0cb8-ca46-4549-8578-f245950e0731,72538ae4-2d4e-4cb5-b851-be3777625b17,2025-08-17 20:46:25,2025-08-19,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
86d747cd-75c6-4849-8480-356a8faf2091,b94c192f-cc4c-4eae-93ee-700b9f36dad6,2025-08-17 17:46:56,2025-08-18,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
5a72ec9f-250f-4ef3-8273-68f028e84383,119580cf-8efb-4ec0-87a3-a718b846cad7,2025-08-17 12:23:59,2025-08-20,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
