maintenance_id,bike_id,reported_time,resolved_time,issue_description
65760c9f-cfc8-405f-973f-07180429b1d4,78474814-e054-4ab5-af7f-8ce8e3e2ec31,2025-09-04 21:35:49,2025-09-05,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
75dcc9df-9ac2-4797-b921-49ed7cc9bd06,88362d61-8dcf-4282-b7b5-afdb1069772f,2025-09-04 15:54:36,2025-09-08,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
e9a91c5f-7074-487c-9e2a-f8149781cbc9,e28e7c63-05aa-4ea0-9030-f71f1bc3e6d4,2025-09-04 03:31:04,2025-09-05,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
95fcf8eb-ce53-4262-b7c3-e5b27badc105,a9e40372-bd45-4e4d-af66-334a574f8574,2025-09-04 20:45:22,2025-09-07,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
dea360e1-6673-4491-b7a5-d3e19fbf99e6,36c2ab81-0579-438d-8165-b7055562783c,2025-09-04 15:31:10,2025-09-05,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
7ab51f8f-cacb-40a8-8516-01683662e64c,f1a53b97-2328-4a68-84f1-4ca39052b911,2025-09-04 10:38:25,2025-09-05,
60832c97-be6e-4de2-862f-2d9ef6555515,02442b5d-0249-4a5e-adce-5e28fdeae621,2025-09-04 17:58:57,2025-09-06,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
61fa88f7-389b-40e3-8ce1-f5b716c7d5cc,fd71e811-ccbc-418e-8374-0dcda2b77f0f,2025-09-04 11:38:51,2025-09-07,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
f976c472-2a53-499e-bb28-93439d9a51d2,14d25db1-0219-4804-8d89-3496513fd990,2025-09-04 23:29:30,2025-09-06,"The tires on my rental bike are low on air and one of them has a slow leak, making it difficult to ride. I've only had the bike for an hour and I'm already having to stop frequently to add air. I'd appreciate it if someone could take a look at it and fix the issue as soon as possible."
13a2cb58-7ed8-4743-9ef6-d252ae9d1d7f,5aa7f347-befa-4f59-ab26-33da98521fe4,2025-09-04 22:08:16,2025-09-06,Broken
bb876ed3-6791-4bf1-8da5-d110c33968d5,096be3a3-5ba8-4218-9f51-0edb11703316,2025-09-04 17:35:19,2025-09-09,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
b0ecc283-cade-460c-8980-2870840cf1f0,49e15ac2-a520-4393-9fd6-28cd1a8e1e62,2025-09-04 10:27:18,2025-09-09,"The brakes on my rental bike are not working properly, it's taking a lot of effort to slow down and stop. I'm having to squeeze the brake levers really hard to get any response, which is kinda scary. I'd appreciate it if someone could take a look and fix the issue ASAP."
3fcbf94e-9118-450e-a049-5e3ae44fe50c,abd8d46b-28b5-4b64-824f-044c4e41cdb1,2025-09-04 14:55:04,2025-09-06,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
3905c3b0-638e-4c0b-a81c-d2726047e26c,a3362926-eeca-40e6-be83-9b49c83d33f1,2025-09-04 13:24:02,2025-09-08,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
960356c0-21d7-4f2a-bb64-fe573e4cbcdf,02605cc2-c123-44fd-9b9f-aaf156ce1ed0,2025-09-04 03:53:09,2025-09-05,"The handlebars on my rental bike are loose and keep shifting while I'm riding, it's pretty annoying. I've tried to tighten them but it doesn't seem to be making a difference. I'd appreciate it if someone could take a look and fix the issue so I can finish my ride safely."
b5bb66eb-f77c-46c3-ac9b-5e83713b42be,ca5c2167-a993-4fa0-9881-e079952f1771,2025-09-04 06:20:13,2025-09-06,"The seat on my rental bike is loose and keeps sliding back and forth, making it hard to ride. I've tried to tighten it, but it doesn't seem to be staying in place. Can I get a replacement or have this one fixed ASAP?"
15f1aad9-3869-43ed-b8db-44afb5718deb,75692df8-33ea-4d96-b5f4-02a578861cc5,2025-09-04 12:46:42,2025-09-07,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
36311ba9-7780-4149-b89a-8f5da510ba59,6d177557-8ef4-4cda-b6e7-9fe15c808ece,2025-09-04 08:08:08,2025-09-05,"The safety reflectors on my rental bike are loose and not securely attached, which is a safety concern. I noticed the issue as soon as I started riding and I'm worried it could cause problems, especially at night. I'd appreciate it if someone could take a look and fix the reflectors as soon as possible."
